Name,Value,Timestamp,Step
"sqr_mom_2",0.99,1613808984609,7
"lr_2",4.4676661535831333e-05,1613808984609,7
"mom_2",0.9495128477566842,1613808984609,7
"eps_2",1e-05,1613808984609,7
"train_loss",0.6559781,1613808985465,8
"raw_loss",0.33994982,1613808985465,8
"wd_0",0.01,1613808985465,8
"sqr_mom_0",0.99,1613808985465,8
"lr_0",4.610525038422375e-06,1613808985465,8
"mom_0",0.94936403641831,1613808985465,8
"eps_0",1e-05,1613808985465,8
"wd_1",0.01,1613808985465,8
"sqr_mom_1",0.99,1613808985465,8
"lr_1",4.610525038422375e-06,1613808985465,8
"mom_1",0.94936403641831,1613808985465,8
"eps_1",1e-05,1613808985465,8
"wd_2",0.01,1613808985465,8
"sqr_mom_2",0.99,1613808985465,8
"lr_2",4.610525038422376e-05,1613808985465,8
"mom_2",0.94936403641831,1613808985465,8
"eps_2",1e-05,1613808985465,8
"train_loss",0.6228782,1613808986314,9
"raw_loss",0.35323492,1613808986314,9
"wd_0",0.01,1613808986314,9
"sqr_mom_0",0.99,1613808986314,9
"lr_0",4.772259690167275e-06,1613808986314,9
"mom_0",0.9491955628227424,1613808986314,9
"eps_0",1e-05,1613808986314,9
"wd_1",0.01,1613808986314,9
"sqr_mom_1",0.99,1613808986314,9
"lr_1",4.772259690167275e-06,1613808986314,9
"mom_1",0.9491955628227424,1613808986314,9
"eps_1",1e-05,1613808986314,9
"wd_2",0.01,1613808986314,9
"sqr_mom_2",0.99,1613808986314,9
"lr_2",4.7722596901672744e-05,1613808986314,9
"mom_2",0.9491955628227424,1613808986314,9
"eps_2",1e-05,1613808986314,9
"train_loss",0.58705276,1613808987164,10
"raw_loss",0.26593453,1613808987164,10
"wd_0",0.01,1613808987164,10
"sqr_mom_0",0.99,1613808987164,10
"lr_0",4.952805610107015e-06,1613808987164,10
"mom_0",0.9490074941561385,1613808987164,10
"eps_0",1e-05,1613808987164,10
"wd_1",0.01,1613808987164,10
"sqr_mom_1",0.99,1613808987164,10
"lr_1",4.952805610107015e-06,1613808987164,10
"mom_1",0.9490074941561385,1613808987164,10
"eps_1",1e-05,1613808987164,10
"wd_2",0.01,1613808987164,10
"sqr_mom_2",0.99,1613808987164,10
"lr_2",4.952805610107016e-05,1613808987164,10
"mom_2",0.9490074941561385,1613808987164,10
"eps_2",1e-05,1613808987164,10
"train_loss",0.58140725,1613808988017,11
"raw_loss",0.52628356,1613808988017,11
"wd_0",0.01,1613808988017,11
"sqr_mom_0",0.99,1613808988017,11
"lr_0",5.1520907627064555e-06,1613808988017,11
"mom_0",0.9487999054555141,1613808988017,11
"eps_0",1e-05,1613808988017,11
"wd_1",0.01,1613808988017,11
"sqr_mom_1",0.99,1613808988017,11
"lr_1",5.1520907627064555e-06,1613808988017,11
"mom_1",0.9487999054555141,1613808988017,11
"eps_1",1e-05,1613808988017,11
"wd_2",0.01,1613808988017,11
"sqr_mom_2",0.99,1613808988017,11
"lr_2",5.152090762706456e-05,1613808988017,11
"mom_2",0.9487999054555141,1613808988017,11
"eps_2",1e-05,1613808988017,11
"train_loss",0.57576877,1613808988873,12
"raw_loss",0.51628995,1613808988873,12
"wd_0",0.01,1613808988873,12
"sqr_mom_0",0.99,1613808988873,12
"lr_0",5.370035871207568e-06,1613808988873,12
"mom_0",0.9485728793008255,1613808988873,12
"eps_0",1e-05,1613808988873,12
"wd_1",0.01,1613808988873,12
"sqr_mom_1",0.99,1613808988873,12
"lr_1",5.370035871207568e-06,1613808988873,12
"mom_1",0.9485728793008255,1613808988873,12
"eps_1",1e-05,1613808988873,12
"wd_2",0.01,1613808988873,12
"sqr_mom_2",0.99,1613808988873,12
"lr_2",5.3700358712075686e-05,1613808988873,12
"mom_2",0.9485728793008255,1613808988873,12
"eps_2",1e-05,1613808988873,12
"train_loss",0.59423184,1613808989730,13
"raw_loss",0.80319595,1613808989730,13
"wd_0",0.01,1613808989730,13
"sqr_mom_0",0.99,1613808989730,13
"lr_0",5.6065544142990906e-06,1613808989730,13
"mom_0",0.9483265058184384,1613808989730,13
"eps_0",1e-05,1613808989730,13
"wd_1",0.01,1613808989730,13
"sqr_mom_1",0.99,1613808989730,13
"lr_1",5.6065544142990906e-06,1613808989730,13
"mom_1",0.9483265058184384,1613808989730,13
"eps_1",1e-05,1613808989730,13
"wd_2",0.01,1613808989730,13
"sqr_mom_2",0.99,1613808989730,13
"lr_2",5.6065544142990906e-05,1613808989730,13
"mom_2",0.9483265058184384,1613808989730,13
"eps_2",1e-05,1613808989730,13
"train_loss",0.59090996,1613808990586,14
"raw_loss",0.55080956,1613808990586,14
"wd_0",0.01,1613808990586,14
"sqr_mom_0",0.99,1613808990586,14
"lr_0",5.861551629698894e-06,1613808990586,14
"mom_0",0.9480608837190636,1613808990586,14
"eps_0",1e-05,1613808990586,14
"wd_1",0.01,1613808990586,14
"sqr_mom_1",0.99,1613808990586,14
"lr_1",5.861551629698894e-06,1613808990586,14
"mom_1",0.9480608837190636,1613808990586,14
"eps_1",1e-05,1613808990586,14
"wd_2",0.01,1613808990586,14
"sqr_mom_2",0.99,1613808990586,14
"lr_2",5.861551629698895e-05,1613808990586,14
"mom_2",0.9480608837190636,1613808990586,14
"eps_2",1e-05,1613808990586,14
"train_loss",0.5681237,1613808991446,15
"raw_loss",0.27622962,1613808991446,15
"wd_0",0.01,1613808991446,15
"sqr_mom_0",0.99,1613808991446,15
"lr_0",6.134926216169848e-06,1613808991446,15
"mom_0",0.947776118524823,1613808991446,15
"eps_0",1e-05,1613808991446,15
"wd_1",0.01,1613808991446,15
"sqr_mom_1",0.99,1613808991446,15
"lr_1",6.134926216169848e-06,1613808991446,15
"mom_1",0.947776118524823,1613808991446,15
"eps_1",1e-05,1613808991446,15
"wd_2",0.01,1613808991446,15
"sqr_mom_2",0.99,1613808991446,15
"lr_2",6.134926216169849e-05,1613808991446,15
"mom_2",0.947776118524823,1613808991446,15
"eps_2",1e-05,1613808991446,15
"train_loss",0.5476927,1613808992309,16
"raw_loss",0.27118185,1613808992309,16
"wd_0",0.01,1613808992309,16
"sqr_mom_0",0.99,1613808992309,16
"lr_0",6.426569286083635e-06,1613808992309,16
"mom_0",0.9474723236603295,1613808992309,16
"eps_0",1e-05,1613808992309,16
"wd_1",0.01,1613808992309,16
"sqr_mom_1",0.99,1613808992309,16
"lr_1",6.426569286083635e-06,1613808992309,16
"mom_1",0.9474723236603295,1613808992309,16
"eps_1",1e-05,1613808992309,16
"wd_2",0.01,1613808992309,16
"sqr_mom_2",0.99,1613808992309,16
"lr_2",6.426569286083637e-05,1613808992309,16
"mom_2",0.9474723236603295,1613808992309,16
"eps_2",1e-05,1613808992309,16
"train_loss",0.52638036,1613808993171,17
"raw_loss",0.22282347,1613808993171,17
"wd_0",0.01,1613808993171,17
"sqr_mom_0",0.99,1613808993171,17
"lr_0",6.7363650492297375e-06,1613808993171,17
"mom_0",0.9471496197403857,1613808993171,17
"eps_0",1e-05,1613808993171,17
"wd_1",0.01,1613808993171,17
"sqr_mom_1",0.99,1613808993171,17
"lr_1",6.7363650492297375e-06,1613808993171,17
"mom_1",0.9471496197403857,1613808993171,17
"eps_1",1e-05,1613808993171,17
"wd_2",0.01,1613808993171,17
"sqr_mom_2",0.99,1613808993171,17
"lr_2",6.736365049229738e-05,1613808993171,17
"mom_2",0.9471496197403857,1613808993171,17
"eps_2",1e-05,1613808993171,17
"train_loss",0.5110877,1613808994041,18
"raw_loss",0.28264025,1613808994041,18
"wd_0",0.01,1613808994041,18
"sqr_mom_0",0.99,1613808994041,18
"lr_0",7.06418938445837e-06,1613808994041,18
"mom_0",0.9468081360578559,1613808994041,18
"eps_0",1e-05,1613808994041,18
